epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.21140659702041448,94.13936203158873,0.5779805526899364,83.8514966098892,0.001
2,0.11442672664951976,97.19170021678538,0.4367009422242869,90.1852158094923,0.001
3,0.09781129279900076,97.51997522452771,0.5719051923555353,84.1491648751447,0.001
4,0.08853132944559994,97.80241560854753,0.82807159975076,83.38018852323466,0.001
5,0.08281740376012911,97.95850108392692,0.8210634317239782,82.8013891185712,0.001
6,0.07614530224195148,98.11830288014865,1.4199548825864143,83.41326277492972,0.001
7,0.07317545741247442,98.20377825952308,0.6227668068405465,83.68612535141392,0.001
8,0.06826752115730285,98.28305977082688,1.1919752971506299,83.3719199603109,0.0005
9,0.059475434866546405,98.50975534221121,0.659257929698686,83.66131966264263,0.0005
10,0.05716134801140961,98.54196345617838,1.134737595170952,82.01587564081363,0.0005
11,0.054765923528949746,98.6100960049551,0.7455545034152997,83.578634033405,0.0005
12,0.05364961669874037,98.60390213688449,0.8937609652574307,83.36365139738713,0.0005
13,0.05340726274765272,98.61752864663983,0.9976811224232637,83.40499421200596,0.0005
14,0.051176380669394075,98.65345308144937,0.8764020806527133,83.60343972217629,0.00025
15,0.04628720336295546,98.7562712914215,0.8880891131970847,81.9083843228047,0.00025
16,0.0447382501670766,98.77980799008981,0.7127577182574737,83.80188523234662,0.00025
17,0.0440873112813636,98.79838959430164,0.7421153859232045,82.59467504547709,0.00025
18,0.043173334945864804,98.81944874574171,1.0048036513890977,83.02464031751282,0.00025
19,0.04356015614907681,98.76742025394859,0.743417471036022,83.68612535141392,0.00025
20,0.0420941811696244,98.83431402911118,0.8404532304973035,83.30577145692078,0.000125
